naslov_nom,naslov_orig,leto,kategorija,drzava,jezik
Marie-Louise,Marie-Louise,1945,Writing,Switzerland,German
Gate of Hell,地獄門,1954,Costume Design,Japan,Japanese
The Red Balloon,Le ballon rouge,1956,Writing,France,French
Serengeti Shall Not Die,Serengeti darf nicht sterben,1959,Documentary Feature,Germany,German
Serengeti Shall Not Die,Serengeti darf nicht sterben,1959,Documentary Feature,Germany,German
Never on Sunday,Poté tin Kyriakí,1960,Music,Greece,Greece
La Dolce Vita,La Dolce Vita,1961,Costume Design,Italy,Italian
La Dolce Vita,La Dolce Vita,1961,Costume Design,Italy,English
La Dolce Vita,La Dolce Vita,1961,Costume Design,Italy,French
La Dolce Vita,La Dolce Vita,1961,Costume Design,Italy,German
Divorce Italian Style,Divorzio all'italiana,1962,Writing,Italy,Italian
8½,8½,1963,Costume Design,Italy,Italian
8½,8½,1963,Costume Design,Italy,English
8½,8½,1963,Costume Design,Italy,French
8½,8½,1963,Costume Design,Italy,German
A Man and a Woman,Un homme et une femme,1966,Writing,France,French
Z,Z,1969,Film Editing,Algeria,French
Cries and Whispers,Viskningar och rop,1973,Cinematography,Sweden,Swedish
Fanny and Alexander,Fanny och Alexander,1983,Costume Design,Sweden,Swedish
Fanny and Alexander,Fanny och Alexander,1983,Costume Design,Sweden,German
Fanny and Alexander,Fanny och Alexander,1983,Costume Design,Sweden,Yiddish
Fanny and Alexander,Fanny och Alexander,1983,Costume Design,Sweden,English
Fanny and Alexander,Fanny och Alexander,1983,Cinematography,Sweden,Swedish
Fanny and Alexander,Fanny och Alexander,1983,Cinematography,Sweden,German
Fanny and Alexander,Fanny och Alexander,1983,Cinematography,Sweden,Yiddish
Fanny and Alexander,Fanny och Alexander,1983,Cinematography,Sweden,English
Fanny and Alexander,Fanny och Alexander,1983,Art Direction,Sweden,Swedish
Fanny and Alexander,Fanny och Alexander,1983,Art Direction,Sweden,German
Fanny and Alexander,Fanny och Alexander,1983,Art Direction,Sweden,Yiddish
Fanny and Alexander,Fanny och Alexander,1983,Art Direction,Sweden,English
Ran,乱,1985,Costume Design,Japan,Japanese
Cyrano de Bergerac,Cyrano de Bergerac,1990,Costume Design,France,French
The Postman,Il postino,1995,Music,Italy,Italian
The Postman,Il postino,1995,Music,Italy,Spanish
Life Is Beautiful,La vita è bella,1998,Music,Italy,Italian
Life Is Beautiful,La vita è bella,1998,Music,Italy,German
Life Is Beautiful,La vita è bella,1998,Music,Italy,English
Life Is Beautiful,La vita è bella,1998,Actor in a Leading Role,Italy,Italian
Life Is Beautiful,La vita è bella,1998,Actor in a Leading Role,Italy,German
Life Is Beautiful,La vita è bella,1998,Actor in a Leading Role,Italy,English
"Crouching Tiger, Hidden Dragon",臥虎藏龍,2000,Music,Taiwan  China  Hong Kong  United States,Mandarin
"Crouching Tiger, Hidden Dragon",臥虎藏龍,2000,Cinematography,Taiwan  China  Hong Kong  United States,Mandarin
"Crouching Tiger, Hidden Dragon",臥虎藏龍,2000,Art Direction,Taiwan  China  Hong Kong  United States,Mandarin
Talk to Her,Hable con ella,2002,Writing,Spain,Spanish
The Motorcycle Diaries,Diarios de motocicleta,2004,Music,Brazil  Argentina  Chile  France  Germany  Peru  United Kingdom  United States,Quechua
The Motorcycle Diaries,Diarios de motocicleta,2004,Music,Brazil  Argentina  Chile  France  Germany  Peru  United Kingdom  United States,Spanish
Letters from Iwo Jima,Letters from Iwo Jima,2006,Sound Editing,United States,Japanese
Letters from Iwo Jima,Letters from Iwo Jima,2006,Sound Editing,United States,English
Letters from Iwo Jima,Letters from Iwo Jima,2006,Sound,United States,Japanese
Letters from Iwo Jima,Letters from Iwo Jima,2006,Sound,United States,English
Pan's Labyrinth,El laberinto del fauno,2006,Cinematography,Mexico  Spain,Spanish
Pan's Labyrinth,El laberinto del fauno,2006,Art Direction,Mexico  Spain,Spanish
Pan's Labyrinth,El laberinto del fauno,2006,Makeup,Mexico  Spain,Spanish
La Vie en Rose,La Môme,2007,Makeup,France  United Kingdom  Czech Republic,French
The Artist,The Artist,2011,Costume Design,France,Silent film
The Artist,The Artist,2011,Music,France,Silent film
The Artist,The Artist,2011,Actor in a Leading Role,France,Silent film
The Artist,The Artist,2011,Picture,France,Silent film
The Artist,The Artist,2011,Director,France,Silent film
Roma,Roma,2018,Cinematography,Mexico,Spanish Mixtec
Roma,Roma,2018,Director,Mexico,Spanish Mixtec
Parasite,기생충,2019,Picture,South Korea,Korean
Parasite,기생충,2019,Director,South Korea,Korean
Parasite,기생충,2019,Original Screenplay,South Korea,Korean
All Quiet on the Western Front,Im Westen nichts Neues,2022,Music,Germany,German
All Quiet on the Western Front,Im Westen nichts Neues,2022,Music,Germany,French
All Quiet on the Western Front,Im Westen nichts Neues,2022,Cinematography,Germany,German
All Quiet on the Western Front,Im Westen nichts Neues,2022,Cinematography,Germany,French
All Quiet on the Western Front,Im Westen nichts Neues,2022,Production Design,Germany,German
All Quiet on the Western Front,Im Westen nichts Neues,2022,Production Design,Germany,French
RRR,RRR,2022,Music,India,Telugu
RRR,RRR,2022,Music,India,English
Godzilla Minus One,ゴジラ-1.0,2023,Visual Effects,Japan,Japanese
The Zone of Interest,The Zone of Interest,2023,Sound,United Kingdom,German
The Boy and the Heron,Kimitachi wa Dō Ikiru ka 君たちはどう生きるか,2023,Animated Feature,Japan,Japanese
20 Days in Mariupol,20 днів у Маріуполі,2023,Documentary Feature,Ukraine,Ukrainian
20 Days in Mariupol,20 днів у Маріуполі,2023,Documentary Feature,Ukraine,English
20 Days in Mariupol,20 днів у Маріуполі,2023,Documentary Feature,Ukraine,Russian
20 Days in Mariupol,20 днів у Маріуполі,2023,Documentary Feature,Ukraine,Ukrainian
20 Days in Mariupol,20 днів у Маріуполі,2023,Documentary Feature,Ukraine,English
20 Days in Mariupol,20 днів у Маріуполі,2023,Documentary Feature,Ukraine,Russian
Anatomy of a Fall,Anatomie d'une chute,2023,Original Screenplay,France,French
Anatomy of a Fall,Anatomie d'une chute,2023,Original Screenplay,France,English
